PKW mit Elektroantrieb
Landkreise

Kommune;GKZ;ARS;Bundesland;"2020
PKW mit Elektroantrieb (%)";"2021
PKW mit Elektroantrieb (%)";"2022
PKW mit Elektroantrieb (%)"
Germersheim, LK;07334000;073340000000;Rheinland-Pfalz;0,31;1,10;2,18
Gießen, LK;06531000;065310000000;Hessen;0,49;1,16;2,36
Gifhorn, LK;03151000;031510000000;Niedersachsen;0,31;0,90;2,33
Göppingen, LK;08117000;081170000000;Baden-Württemberg;0,47;1,16;2,57
Görlitz, LK;14626000;146260000000;Sachsen;0,18;0,41;0,85
Goslar, LK;03153000;031530000000;Niedersachsen;0,27;0,74;1,69
Gotha, LK;16067000;160670000000;Thüringen;0,37;0,60;1,27
Göttingen, LK;03159000;031590000000;Niedersachsen;0,36;0,97;2,07
Grafschaft Bentheim;03456000;034560000000;Niedersachsen;0,59;1,37;2,57
Greiz, LK;16076000;160760000000;Thüringen;0,16;0,45;1,02
Groß-Gerau, LK;06433000;064330000000;Hessen;0,63;1,32;2,31
Günzburg, LK;09774000;097740000000;Bayern;0,35;0,90;2,04
Gütersloh, LK;05754000;057540000000;Nordrhein-Westfalen;0,45;1,22;2,66
Hameln-Pyrmont, LK;03252000;032520000000;Niedersachsen;0,37;0,93;1,88
Harburg, LK;03353000;033530000000;Niedersachsen;0,44;1,15;2,41
Harz, LK;15085000;150850000000;Sachsen-Anhalt;0,19;0,60;1,37
Haßberge, LK;09674000;096740000000;Bayern;0,41;0,90;1,98
Havelland, LK;12063000;120630000000;Brandenburg;0,34;0,85;1,86
Heidekreis, LK;03358000;033580000000;Niedersachsen;0,30;0,75;1,70
Heidenheim, LK;08135000;081350000000;Baden-Württemberg;0,38;0,95;1,87
Heilbronn, LK;08125000;081250000000;Baden-Württemberg;0,54;1,47;2,82
Heinsberg, LK;05370000;053700000000;Nordrhein-Westfalen;0,32;0,95;2,14
Helmstedt, LK;03154000;031540000000;Niedersachsen;0,44;1,02;2,16
Herford, LK;05758000;057580000000;Nordrhein-Westfalen;0,42;1,16;2,56
Hersfeld-Rotenburg, LK;06632000;066320000000;Hessen;0,29;0,72;1,57
Herzogtum Lauenburg;01053000;010530000000;Schleswig-Holstein;0,44;1,10;2,20
Hildburghausen, LK;16069000;160690000000;Thüringen;0,13;0,43;1,01
Hildesheim, LK;03254000;032540000000;Niedersachsen;0,35;0,88;1,96
Hochsauerlandkreis, LK;05958000;059580000000;Nordrhein-Westfalen;0,30;1,00;2,30
Hochtaunuskreis, LK;06434000;064340000000;Hessen;0,82;1,78;3,20
Hof, LK;09475000;094750000000;Bayern;0,28;0,77;1,75
Hohenlohekreis, LK;08126000;081260000000;Baden-Württemberg;0,49;1,08;2,16
Holzminden, LK;03255000;032550000000;Niedersachsen;0,24;0,66;1,68
Höxter, LK;05762000;057620000000;Nordrhein-Westfalen;0,29;0,88;1,96
Ilm-Kreis, LK;16070000;160700000000;Thüringen;0,39;0,83;1,58
Jerichower Land, LK;15086000;150860000000;Sachsen-Anhalt;0,18;0,47;1,17
Kaiserslautern, LK;07335000;073350000000;Rheinland-Pfalz;0,28;0,75;1,74
Karlsruhe, LK;08215000;082150000000;Baden-Württemberg;0,51;1,23;2,51
Kassel, LK;06633000;066330000000;Hessen;0,41;1,10;2,53
Kelheim, LK;09273000;092730000000;Bayern;0,45;0,95;1,89
Kitzingen, LK;09675000;096750000000;Bayern;0,53;1,05;2,11
Kleve, LK;05154000;051540000000;Nordrhein-Westfalen;0,33;0,91;2,02
Konstanz, LK;08335000;083350000000;Baden-Württemberg;0,56;1,33;2,72
Kronach, LK;09476000;094760000000;Bayern;0,32;0,72;1,53
Kulmbach, LK;09477000;094770000000;Bayern;0,38;0,90;1,94
Kusel, LK;07336000;073360000000;Rheinland-Pfalz;0,22;0,53;1,25
Kyffhäuserkreis, LK;16065000;160650000000;Thüringen;0,14;0,43;0,94
Lahn-Dill-Kreis, LK;06532000;065320000000;Hessen;0,34;0,86;2,02
Landsberg am Lech, LK;09181000;091810000000;Bayern;0,79;1,69;2,96
Landshut, LK;09274000;092740000000;Bayern;0,56;1,19;2,33
Leer, LK;03457000;034570000000;Niedersachsen;0,32;0,75;1,75
Leipzig, LK;14729000;147290000000;Sachsen;0,30;0,71;1,44
Lichtenfels, LK;09478000;094780000000;Bayern;0,33;0,80;1,70
Limburg-Weilburg, LK;06533000;065330000000;Hessen;0,45;1,11;2,40
Lindau (Bodensee), LK;09776000;097760000000;Bayern;0,55;1,16;2,19
Lippe, LK;05766000;057660000000;Nordrhein-Westfalen;0,41;1,08;2,26
Lörrach, LK;08336000;083360000000;Baden-Württemberg;0,62;1,29;2,53
Lüchow-Dannenberg, LK;03354000;033540000000;Niedersachsen;0,28;0,80;1,71
Ludwigsburg, LK;08118000;081180000000;Baden-Württemberg;0,70;1,63;3,21
Ludwigslust-Parchim, LK;13076000;130760000000;Mecklenburg-Vorpommern;0,15;0,38;0,81
Lüneburg, LK;03355000;033550000000;Niedersachsen;0,48;1,21;2,50
Main-Kinzig-Kreis, LK;06435000;064350000000;Hessen;0,37;0,90;2,01
Main-Spessart, LK;09677000;096770000000;Bayern;0,40;0,88;1,97
Main-Tauber-Kreis, LK;08128000;081280000000;Baden-Württemberg;0,38;0,91;1,91
Main-Taunus-Kreis, LK;06436000;064360000000;Hessen;0,55;1,29;2,72
Mainz-Bingen, LK;07339000;073390000000;Rheinland-Pfalz;0,53;1,13;2,33
Mansfeld-Südharz, LK;15087000;150870000000;Sachsen-Anhalt;0,16;0,45;0,91
Marburg-Biedenkopf, LK;06534000;065340000000;Hessen;0,37;0,92;1,85
Märkischer Kreis, LK;05962000;059620000000;Nordrhein-Westfalen;0,32;0,96;2,07
Märkisch-Oderland, LK;12064000;120640000000;Brandenburg;0,28;0,70;1,46
Mayen-Koblenz, LK;07137000;071370000000;Rheinland-Pfalz;0,34;0,95;2,16
Mecklenburgische Seenplatte, LK;13071000;130710000000;Mecklenburg-Vorpommern;0,17;0,44;0,95
Meißen, LK;14627000;146270000000;Sachsen;0,22;0,56;1,15
Merzig-Wadern, LK;10042000;100420000000;Saarland;0,25;0,71;1,65
Mettmann, LK;05158000;051580000000;Nordrhein-Westfalen;0,53;1,38;2,96
Miesbach, LK;09182000;091820000000;Bayern;0,67;1,43;2,72
Miltenberg, LK;09676000;096760000000;Bayern;0,40;0,97;2,14
Minden-Lübbecke, LK;05770000;057700000000;Nordrhein-Westfalen;0,40;1,02;2,16
Mittelsachsen, LK;14522000;145220000000;Sachsen;0,18;0,48;1,06
Mühldorf am Inn, LK;09183000;091830000000;Bayern;0,47;1,01;2,09
München, LK;09184000;091840000000;Bayern;1,38;2,85;5,07
Neckar-Odenwald-Kreis, LK;08225000;082250000000;Baden-Württemberg;0,36;1,03;2,13
Neuburg-Schrobenhausen, LK;09185000;091850000000;Bayern;0,40;0,94;1,85
Neumarkt in der Oberpfalz, LK;09373000;093730000000;Bayern;0,45;1,03;2,14
Neunkirchen, LK;10043000;100430000000;Saarland;0,35;0,77;1,73
Neustadt an der Aisch-Bad Windsheim, LK;09575000;095750000000;Bayern;0,61;1,18;2,24
Neustadt an der Waldnaab, LK;09374000;093740000000;Bayern;0,35;0,82;1,86
Neu-Ulm, LK;09775000;097750000000;Bayern;0,40;1,13;2,20
Neuwied, LK;07138000;071380000000;Rheinland-Pfalz;0,35;0,96;2,08
Nienburg (Weser), LK;03256000;032560000000;Niedersachsen;0,44;0,94;1,89
Nordfriesland, LK;01054000;010540000000;Schleswig-Holstein;0,76;1,50;2,80
Nordhausen, LK;16062000;160620000000;Thüringen;0,26;0,65;1,33
Nordsachsen, LK;14730000;147300000000;Sachsen;0,19;0,55;1,19
Nordwestmecklenburg, LK;13074000;130740000000;Mecklenburg-Vorpommern;0,23;0,55;1,15
Northeim, LK;03155000;031550000000;Niedersachsen;0,27;0,83;1,90
Nürnberger Land, LK;09574000;095740000000;Bayern;0,55;1,17;2,40
Oberallgäu, LK;09780000;097800000000;Bayern;0,54;1,08;2,16
Oberbergischer Kreis, LK;05374000;053740000000;Nordrhein-Westfalen;0,40;0,98;2,24
Oberhavel, LK;12065000;120650000000;Brandenburg;0,35;0,89;1,85
Oberspreewald-Lausitz, LK;12066000;120660000000;Brandenburg;0,15;0,36;0,77
Odenwaldkreis, LK;06437000;064370000000;Hessen;0,43;0,99;2,08
Oder-Spree, LK;12067000;120670000000;Brandenburg;0,24;0,62;1,34
Offenbach, LK;06438000;064380000000;Hessen;0,47;1,11;2,36
Oldenburg, LK;03458000;034580000000;Niedersachsen;0,33;0,89;2,01
Olpe, LK;05966000;059660000000;Nordrhein-Westfalen;0,38;0,99;2,29
Ortenaukreis, LK;08317000;083170000000;Baden-Württemberg;0,44;1,15;2,33
Osnabrück, LK;03459000;034590000000;Niedersachsen;0,33;0,87;2,05
Ostalbkreis, LK;08136000;081360000000;Baden-Württemberg;0,52;1,11;2,39
Ostallgäu, LK;09777000;097770000000;Bayern;0,51;1,09;2,14
Osterholz, LK;03356000;033560000000;Niedersachsen;0,43;1,02;2,06
Ostholstein, LK;01055000;010550000000;Schleswig-Holstein;0,35;0,91;1,98
Ostprignitz-Ruppin, LK;12068000;120680000000;Brandenburg;0,23;0,55;1,15
Paderborn, LK;05774000;057740000000;Nordrhein-Westfalen;0,55;1,45;2,98
Passau, LK;09275000;092750000000;Bayern;0,39;0,93;2,03
Peine, LK;03157000;031570000000;Niedersachsen;0,37;0,90;2,06
Pfaffenhofen an der Ilm, LK;09186000;091860000000;Bayern;0,54;1,14;2,23
Pinneberg, LK;01056000;010560000000;Schleswig-Holstein;0,47;1,32;2,54
Plön, LK;01057000;010570000000;Schleswig-Holstein;0,38;1,03;2,12
Potsdam-Mittelmark, LK;12069000;120690000000;Brandenburg;0,46;1,00;2,15
Prignitz, LK;12070000;120700000000;Brandenburg;0,17;0,61;2,03
Rastatt, LK;08216000;082160000000;Baden-Württemberg;0,42;1,37;2,69
Ravensburg, LK;08436000;084360000000;Baden-Württemberg;0,52;1,26;2,49
Recklinghausen, LK;05562000;055620000000;Nordrhein-Westfalen;0,31;0,87;1,84
Regen, LK;09276000;092760000000;Bayern;0,44;0,82;1,65
Regensburg, LK;09375000;093750000000;Bayern;0,49;1,04;2,18
Regionalverband Saarbrücken;10041000;100410000000;Saarland;0,37;0,93;2,08
Region Hannover;03241000;032410000000;Niedersachsen;0,45;1,16;2,48
Rems-Murr-Kreis, LK;08119000;081190000000;Baden-Württemberg;0,63;1,45;2,98
Rendsburg-Eckernförde, LK;01058000;010580000000;Schleswig-Holstein;0,41;1,02;2,20
